truck_id,timestamp,route_type,load_pct,Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,tire_pressure_bar,brake_fluid_pct,odometer_km,temperature_c,precipitation_mm,health_score,Engine Condition,most_anomalous_feature,max_z_score,primary_dtc_code,primary_dtc_german,primary_dtc_action
LKW-01,2024-01-01 00:00:00,Autobahn,64.9,496.25001767959225,1.9435468118416037,5.559884657011161,2.787942919597194,77.67379032132821,75.12039843776506,8.52,93.59,184105.5,1.3,0.0,0.8893,1,Lub oil pressure,1.3731839163427788,,,
LKW-01,2024-01-01 00:30:00,Autobahn,69.6,842.288935944996,4.196673793752484,5.587882882871893,2.191790435961381,75.9402747406042,62.73686848218754,8.47,93.59,184140.4,1.3,0.0,0.8891,1,Coolant temp,2.443153908527735,P0217,Motorueberhitzung erkannt,"Sofortiger Halt, Kuehlsystem pruefen"
LKW-01,2024-01-01 01:00:00,Autobahn,59.7,1091.131275424127,3.26102481955499,10.434720730959858,2.757624160308944,80.22502015452764,73.31417885936314,8.6,93.58,184167.1,1.3,0.0,0.8889,1,Engine rpm,1.4233117524540437,,,
LKW-01,2024-01-01 01:30:00,Autobahn,82.6,922.9665113710097,2.703293677335794,3.9352845995846826,1.2314016639998455,78.71913347785988,82.05663462759416,8.46,93.58,184203.9,1.3,0.0,0.8887,1,Coolant pressure,1.079496510596075,,,
LKW-01,2024-01-01 02:00:00,Autobahn,76.2,1164.8776422624558,4.584088228336716,4.222118016354581,4.114408728536008,76.674055546771,86.29327076643135,8.52,93.58,184247.7,1.3,0.0,0.8885,1,Coolant pressure,1.789194681329528,,,
LKW-01,2024-01-01 02:30:00,Autobahn,72.3,377.52900796374047,4.274058162391317,11.158058231844684,1.5830156036291454,79.10135943495284,74.98093298844584,8.5,93.58,184277.1,1.3,0.0,0.8883,1,Fuel pressure,1.5326333606767377,,,
LKW-01,2024-01-01 03:00:00,Autobahn,83.0,659.4712461959695,4.287790156454063,7.313996381460675,3.241009490955069,77.10939651021819,79.7087324577961,8.49,93.58,184317.1,1.3,0.0,0.8881,1,Coolant pressure,0.9201323988595128,,,
LKW-01,2024-01-01 03:30:00,Autobahn,68.5,915.9001186408556,4.863804425446694,10.941457329131257,1.9957066497168612,79.21681552186118,75.4539112290609,8.54,93.58,184361.4,1.3,0.0,0.8879,1,Lub oil pressure,1.475148589112856,,,
LKW-01,2024-01-01 04:00:00,Autobahn,70.6,713.6846530833586,4.508516013618272,0.9427495514506052,0.34176276582178056,80.55934707433875,79.8531183484423,8.55,93.58,184411.5,1.3,0.0,0.8878,1,Fuel pressure,2.1453902326257217,P0087,Kraftstoffdruck zu niedrig,"Kraftstofffilter, Leitungen und Pumpe pruefen"
LKW-01,2024-01-01 04:30:00,Autobahn,64.1,969.6280418966048,3.4720262543482128,5.682365714376761,1.9581546532000003,71.49299359235116,80.80385096450712,8.6,93.58,184451.6,1.3,0.0,0.8876,1,lub oil temp,1.965428922992674,,,
LKW-01,2024-01-01 05:00:00,Autobahn,61.8,516.7555915134791,3.3569965307093605,1.1128003016850485,2.972395639818551,80.19848290584507,77.50434274743058,8.44,93.58,184487.9,1.3,0.0,0.8874,1,Fuel pressure,2.084163431655774,P0087,Kraftstoffdruck zu niedrig,"Kraftstofffilter, Leitungen und Pumpe pruefen"
LKW-01,2024-01-01 05:30:00,Autobahn,67.0,677.5755118083389,2.0851199471372386,9.145861811362339,1.6855000738391663,79.27416803804672,82.8739526954662,8.64,93.58,184535.7,1.3,0.0,0.8873,1,Lub oil pressure,1.2350976867981147,,,
LKW-01,2024-01-01 06:00:00,Autobahn,74.2,1072.0458745277501,2.5017487955903417,5.424010794587294,2.376245769512904,73.4854449784341,81.07405205207074,8.57,93.58,184578.2,1.3,0.0,0.8871,1,Engine rpm,1.3467564553073512,,,
LKW-01,2024-01-01 06:30:00,Autobahn,78.6,963.6224268012529,1.3499380904662543,4.036564096129439,3.3057365470902815,79.17767647498898,82.42589827054441,8.6,93.58,184608.9,1.3,0.0,0.8869,1,Lub oil pressure,1.9521722250242377,,,
LKW-01,2024-01-01 07:00:00,Autobahn,80.2,724.5193007023177,2.45261925177707,8.20561718006543,2.8682755270978912,76.79786787263222,73.41078983140042,8.62,93.58,184653.2,1.3,0.0,0.8867,1,Lub oil pressure,0.8766497847153467,,,
LKW-01,2024-01-01 07:30:00,Autobahn,78.9,749.6312470431875,3.012664191225018,8.567585126019214,1.1075349915056563,79.4379052674438,91.88403377700047,8.53,93.57,184689.1,1.3,0.0,0.8865,1,Coolant temp,2.159878053331284,P0217,Motorueberhitzung erkannt,"Sofortiger Halt, Kuehlsystem pruefen"
LKW-01,2024-01-01 08:00:00,Autobahn,72.6,706.8577027715445,2.895986200592622,9.497686152318547,0.6345626032286991,80.81837492938816,77.18105420491631,8.55,93.57,184726.3,1.3,0.0,0.8863,1,Coolant pressure,1.6733719046915103,,,
LKW-01,2024-01-01 08:30:00,Autobahn,65.9,1005.7667726298916,1.7442110321291036,9.203785506324252,2.776259847036242,73.13711088242853,79.11735125495979,8.57,93.57,184774.6,1.3,0.0,0.8861,1,Lub oil pressure,1.5676101129256665,,,
LKW-01,2024-01-01 09:00:00,Autobahn,81.0,1150.4099500543864,4.522560033641575,-0.9038576130517182,2.1041979954338155,77.92170876974527,68.92258846890763,8.51,93.57,184816.0,1.3,0.0,0.8859,1,Fuel pressure,2.810261450040455,P0087,Kraftstoffdruck zu niedrig,"Kraftstofffilter, Leitungen und Pumpe pruefen"
LKW-01,2024-01-01 09:30:00,Autobahn,87.2,554.8681405894074,2.5687627516466565,11.163183121722247,1.9007830235621528,79.99452168963425,68.4515531544688,8.57,93.57,184849.7,1.3,0.0,0.8857,1,Coolant temp,1.54066902080736,,,
LKW-01,2024-01-01 10:00:00,Autobahn,81.4,424.65688640224016,4.477142290472809,6.1344292573377235,2.2208869034039385,76.93971879054996,76.31261595507912,8.53,93.57,184888.9,1.3,0.0,0.8855,1,Engine rpm,1.2500481192747754,,,
LKW-01,2024-01-01 10:30:00,Autobahn,78.3,905.917082817207,2.843542446456124,13.174628536769493,0.824889835223337,82.18597286754431,88.43224140090828,8.47,93.57,184933.1,1.3,0.0,0.8853,1,Fuel pressure,2.258699835134018,P0087,Kraftstoffdruck zu niedrig,"Kraftstofffilter, Leitungen und Pumpe pruefen"
LKW-01,2024-01-01 11:00:00,Autobahn,96.1,801.5091510651062,3.0182609365861257,6.564979833089548,2.882643119305421,83.08673540015751,81.75858284398981,8.41,93.57,184979.4,1.3,0.0,0.8851,1,lub oil temp,1.8788415926162036,,,
LKW-01,2024-01-01 11:30:00,Autobahn,83.4,969.6174620422196,2.9857045854222304,4.475891618516865,1.555171511540424,73.51661056575732,81.5476499984038,8.49,93.57,185025.3,1.3,0.0,0.8849,1,lub oil temp,1.294434933760227,,,
LKW-01,2024-01-01 12:00:00,Autobahn,72.0,1052.8104588832755,2.6029157163488743,7.954698733945788,0.9795988426983759,82.56134957729282,78.64633230287295,8.54,93.57,185047.7,1.3,0.0,0.8847,1,lub oil temp,1.7046333635871844,,,
LKW-01,2024-01-01 12:30:00,Autobahn,96.9,645.9822027279495,2.9056508362281046,8.561173180812371,2.383232855989087,77.64913771214218,89.88852397195099,8.44,93.57,185097.2,1.3,0.0,0.8845,1,Coolant temp,1.8447395031519132,,,
LKW-01,2024-01-01 13:00:00,Autobahn,96.7,885.2189660869992,4.2248101900885615,5.144150798136802,1.6229082052497426,80.24327362345603,86.86857499583363,8.45,93.57,185138.0,1.3,0.0,0.8842,1,Coolant temp,1.367817596007637,,,
LKW-01,2024-01-01 13:30:00,Autobahn,64.4,317.6935267150702,3.408578285692281,10.009694986907363,2.346353271478561,71.11149911242121,78.01707558527825,8.54,93.57,185170.1,1.3,0.0,0.884,1,lub oil temp,2.0919254420090576,P0524,Schmieroel-Temperatur kritisch hoch,"Motor abkuehlen lassen, Oelqualitaet pruefen"
LKW-01,2024-01-01 14:00:00,Autobahn,94.9,1223.151286382106,3.7028884167335283,8.692399739764054,2.5979914351900875,79.8008835339016,85.4621328194681,8.41,93.56,185201.6,1.3,0.0,0.8838,1,Engine rpm,1.9528699851090574,,,
