lkw_id,timestamp,status,brake_fluid_pct,motor_temp_c,oil_pressure_bar,rul_hours
LKW-01,2026-06-12 10:00:00,KRITISCH,49.7,91.0,3.27,12
LKW-01,2026-06-12 10:30:00,KRITISCH,49.7,72.0,3.34,12
LKW-01,2026-06-12 11:00:00,KRITISCH,49.6,82.1,3.3,12
LKW-01,2026-06-12 11:30:00,KRITISCH,49.6,80.2,5.32,12
LKW-01,2026-06-12 12:00:00,KRITISCH,49.6,79.1,1.3,12
LKW-01,2026-06-12 12:30:00,KRITISCH,49.6,73.7,2.34,12
LKW-01,2026-06-12 13:00:00,KRITISCH,49.6,80.5,2.36,12
LKW-01,2026-06-12 13:30:00,KRITISCH,49.6,81.1,3.94,12
LKW-01,2026-06-12 14:00:00,KRITISCH,49.6,82.4,2.54,12
LKW-01,2026-06-12 14:30:00,KRITISCH,49.6,85.3,2.51,12
LKW-01,2026-06-12 15:00:00,KRITISCH,49.5,81.0,2.42,12
LKW-01,2026-06-12 15:30:00,KRITISCH,49.5,82.3,1.14,12
LKW-01,2026-06-12 16:00:00,KRITISCH,49.5,85.1,1.74,12
LKW-01,2026-06-12 16:30:00,KRITISCH,49.5,87.1,2.95,12
LKW-01,2026-06-12 17:00:00,KRITISCH,49.5,86.5,4.94,12
LKW-01,2026-06-12 17:30:00,KRITISCH,49.5,80.4,3.53,12
LKW-01,2026-06-12 18:00:00,KRITISCH,49.5,75.0,3.18,12
LKW-01,2026-06-12 18:30:00,KRITISCH,49.5,86.2,3.18,12
LKW-01,2026-06-12 19:00:00,KRITISCH,49.4,67.3,4.45,12
LKW-01,2026-06-12 19:30:00,KRITISCH,49.4,76.6,2.85,12
LKW-01,2026-06-12 20:00:00,KRITISCH,49.4,73.8,3.22,12
LKW-01,2026-06-12 20:30:00,KRITISCH,49.4,78.0,2.68,12
LKW-01,2026-06-12 21:00:00,KRITISCH,49.4,83.7,4.7,12
LKW-01,2026-06-12 21:30:00,KRITISCH,49.4,84.9,3.61,12
LKW-01,2026-06-12 22:00:00,KRITISCH,49.4,85.0,3.46,12
LKW-01,2026-06-12 22:30:00,KRITISCH,49.4,80.8,1.63,12
LKW-01,2026-06-12 23:00:00,KRITISCH,49.3,82.6,3.23,12
LKW-01,2026-06-12 23:30:00,KRITISCH,49.3,79.8,3.35,12
LKW-01,2026-06-13 00:00:00,KRITISCH,49.3,89.5,3.27,12
LKW-01,2026-06-13 00:30:00,KRITISCH,49.3,82.8,2.08,12
LKW-01,2026-06-13 01:00:00,KRITISCH,49.3,75.8,2.05,12
LKW-01,2026-06-13 01:30:00,KRITISCH,49.3,67.5,3.67,12
LKW-01,2026-06-13 02:00:00,KRITISCH,49.3,71.5,5.17,12
LKW-01,2026-06-13 02:30:00,KRITISCH,49.3,74.5,3.53,12
LKW-01,2026-06-13 03:00:00,KRITISCH,49.2,78.2,3.18,12
LKW-01,2026-06-13 03:30:00,KRITISCH,49.2,81.6,1.81,12
LKW-01,2026-06-13 04:00:00,KRITISCH,49.2,81.1,3.46,12
LKW-01,2026-06-13 04:30:00,KRITISCH,49.2,82.5,2.44,12
LKW-01,2026-06-13 05:00:00,KRITISCH,49.2,76.4,0.71,12
LKW-01,2026-06-13 05:30:00,KRITISCH,49.2,73.2,3.0,12
LKW-01,2026-06-13 06:00:00,KRITISCH,49.2,86.8,1.33,12
LKW-01,2026-06-13 06:30:00,KRITISCH,49.2,69.2,2.96,12
LKW-01,2026-06-13 07:00:00,KRITISCH,49.1,86.5,4.35,12
