timestamp,severity,lkw_id,message,source,savings_eur,dtc_code,recommendation,temperature_c,weather,load_pct,route_type
2026-06-12 10:30:00,INFO,LKW-06,Anomalie erkannt: Coolant temp (z=2.7),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",22.9,Trocken,32.0,Landstrasse
2026-06-12 23:00:00,INFO,LKW-06,Anomalie erkannt: Engine rpm (z=2.9),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",22.9,Trocken,60.0,Landstrasse
2026-06-13 06:00:00,INFO,LKW-06,Anomalie erkannt: Fuel pressure (z=2.8),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",22.9,Trocken,65.0,Landstrasse
2026-06-13 14:30:00,INFO,LKW-06,Anomalie erkannt: lub oil temp (z=2.6),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",23.7,Trocken,46.0,Landstrasse
2026-06-14 05:30:00,INFO,LKW-06,Anomalie erkannt: lub oil temp (z=2.7),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",23.7,Trocken,67.0,Landstrasse
2026-06-14 13:00:00,INFO,LKW-06,Anomalie erkannt: Engine rpm (z=2.7),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",24.9,Trocken,42.0,Stadtverkehr
2026-06-14 21:00:00,INFO,LKW-06,Anomalie erkannt: Fuel pressure (z=2.7),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",24.9,Trocken,52.0,Stadtverkehr
2026-06-15 09:30:00,INFO,LKW-06,Anomalie erkannt: Coolant temp (z=2.5),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",24.9,Trocken,45.0,Stadtverkehr
2026-06-15 19:30:00,INFO,LKW-06,Anomalie erkannt: lub oil temp (z=2.5),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",18.7,Trocken,90.0,Autobahn
2026-06-16 22:00:00,INFO,LKW-06,Anomalie erkannt: Coolant pressure (z=2.9),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",22.2,Trocken,49.0,Stadtverkehr
2026-06-17 05:30:00,INFO,LKW-06,Anomalie erkannt: Coolant pressure (z=2.9),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",22.2,Trocken,47.0,Stadtverkehr
2026-06-17 11:30:00,INFO,LKW-06,Anomalie erkannt: Coolant temp (z=3.3),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",21.9,Trocken,48.0,Landstrasse
2026-06-17 17:30:00,INFO,LKW-06,Anomalie erkannt: Coolant temp (z=2.5),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",21.9,Trocken,64.0,Landstrasse
2026-06-17 22:30:00,KRITISCH,LKW-03,Kuehlmitteldruck ausserhalb Normbereich,XGBoost-Klassifikation,600,P0191,Kuehlsystem und Drucksensor pruefen,21.9,Trocken,84.0,Autobahn
2026-06-18 00:30:00,INFO,LKW-06,Anomalie erkannt: lub oil temp (z=3.1),Isolation Forest,0,,"Beobachten, keine sofortige Massnahme noetig",21.9,Trocken,42.0,Landstrasse
2026-06-18 06:00:00,WARNUNG,LKW-06,Auffaelliges Muster: Fuel pressure,XGBoost-Klassifikation,400,,Wartungstermin innerhalb 14 Tagen einplanen,21.9,Trocken,63.0,Landstrasse
2026-07-04 02:00:00,KRITISCH,LKW-05,Motordrehzahl kritisch erhoeht,XGBoost-Klassifikation,600,P0219,"Motorlast reduzieren, Drehzahlregler pruefen",20.8,Trocken,80.0,Autobahn
2026-07-11 22:00:00,KRITISCH,LKW-09,Motordrehzahl kritisch erhoeht,XGBoost-Klassifikation,600,P0219,"Motorlast reduzieren, Drehzahlregler pruefen",26.8,Trocken,28.0,Stadtverkehr
2026-07-23 04:00:00,KRITISCH,LKW-04,Motordrehzahl kritisch erhoeht,XGBoost-Klassifikation,600,P0219,"Motorlast reduzieren, Drehzahlregler pruefen",26.3,Trocken,35.0,Stadtverkehr
